Title: The Mystery of the Cosmic Diffuse Ultraviolet Background Radiation 
Authors: Henry R.C., Murthy J., Overduin J., Tyler J.
Table: The Two Dynamics Explorer FUV Scans (Fix, Craven & Frank 1989)
================================================================================
Byte-by-byte Description of file: apj504185t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units              Label  Explanations
--------------------------------------------------------------------------------
       1 I1     ---                Scan   Scan number
   3-  6 I4     ---                Num    Source number
   8- 13 F6.2   deg                GLON   Galactic longitude
  15- 20 F6.2   deg                GLAT   Galactic latitude
  22- 26 I5     ph/cm/s/sr/0.1nm   Flux   Observed photon flux (1)
  28- 31 I4     ph/cm/s/sr/0.1nm e_Flux   Uncertainty in Flu (1)
--------------------------------------------------------------------------------
Note (1): In "Photon Units" which is photons cm^-2^ s^-1^ sr^-1^ Angstrom^-1^.
--------------------------------------------------------------------------------
1    1 262.56  36.73  1352  533 
1    2 262.73  36.54   717  212 
1    3 262.90  36.36   868  218 
1    4 263.07  36.17   717  208 
1    5 263.24  35.99   989  231 
1    6 263.42  35.79  1020  233 
1    7 263.58  35.61   626  210 
1    8 263.75  35.42   959  229 
1    9 263.91  35.23  1262  247 
1   10 264.07  35.04  1141  237 
1   11 264.23  34.86   717  212 
1   12 264.41  34.66   838  233 
1   13 264.57  34.47   959  255 
1   14 264.73  34.29   717  224 
1   15 264.89  34.10   475  200 
1   16 265.05  33.91   899  229 
1   17 265.21  33.72   868  227 
1   18 265.38  33.53   747  227 
1   19 265.53  33.34   688  214 
1   20 265.69  33.15   475  194 
1   21 265.85  32.96  1321  260 
1   22 266.00  32.77   657  208 
1   23 266.15  32.58   506  196 
1   24 266.31  32.38   778  212 
1   25 266.47  32.19   930  227 
1   26 266.62  32.00  1200  251 
1   27 266.77  31.81   930  222 
1   28 266.93  31.62   868  227 
1   29 267.08  31.42  1594  541 
1   30 267.23  31.23  1141  241 
1   31 267.39  31.04  1080  243 
1   32 267.54  30.85   749  210 
1   33 267.68  30.66   749  214 
1   34 267.83  30.47   870  218 
1   35 267.99  30.27  1086  233 
1   36 268.13  30.07   998  235 
1   37 268.27  29.88  1547  267 
1   38 268.42  29.69  1246  255 
1   39 268.56  29.50  1065  237 
1   40 268.71  29.31  1311  251 
1   41 268.86  29.11   856  222 
1   42 269.01  28.91   889  220 
1   43 269.15  28.72   829  216 
1   44 269.29  28.53   924  229 
1   45 269.43  28.34   926  233 
1   46 269.58  28.14  1237  245 
1   47 269.72  27.94  1332  256 
1   48 269.86  27.74  1397  260 
1   49 270.00  27.55  1399  258 
1   50 270.14  27.36  1125  239 
1   51 270.28  27.16  1127  239 
1   52 270.42  26.97  1379  256 
1   53 270.56  26.77  1258  247 
1   54 270.70  26.57  1073  239 
1   55 270.84  26.38  1606  285 
1   56 270.97  26.18  1235  249 
1   57 271.11  25.99  1518  267 
1   58 271.25  25.79  1053  235 
1   59 271.39  25.59  1779  285 
1   60 271.51  25.39  1375  267 
1   61 271.65  25.20  1377  271 
1   62 271.78  25.00  1287  255 
1   63 271.92  24.81  1795  303 
1   64 272.05  24.61  1672  273 
1   65 272.19  24.41  1613  277 
1   66 272.32  24.21  1649  279 
1   67 272.46  24.02  1557  275 
1   68 272.59  23.82  2135  310 
1   69 272.72  23.62  2269  326 
1   70 272.84  23.42  1920  301 
1   71 272.98  23.22  1764  287 
1   72 273.11  23.02  1319  255 
1   73 273.24  22.83  1676  283 
1   74 273.37  22.63  2228  310 
1   75 273.50  22.43  2039  305 
1   76 273.63  22.24  1592  279 
1   77 273.76  22.03  1986  301 
1   78 273.89  21.83  1211  249 
1   79 274.02  21.64  1572  297 
1   80 274.14  21.44  1446  262 
1   81 274.26  21.24  1092  243 
1   82 274.40  21.03  1291  255 
1   83 274.52  20.84  1065  245 
1   84 274.65  20.64  1594  273 
1   85 274.78  20.44  1172  264 
1   86 274.90  20.24  1174  253 
1   87 275.03  20.04  1442  269 
1   88 275.40  19.44  1719  297 
1   89 275.52  19.24  1924  336 
1   90 275.65  19.04  1731  291 
1   91 275.77  18.84  1502  279 
1   92 275.90  18.64  2478  328 
1   93 276.02  18.44  2346  328 
1   94 276.14  18.24  1547  273 
1   95 276.27  18.04  2025  305 
1   96 276.39  17.84  1186  256 
1   97 276.50  17.64  1664  289 
1   98 276.63  17.43  1092  251 
1   99 276.75  17.23  1401  271 
1  100 276.87  17.04  1949  314 
1  101 276.99  16.84  1787  301 
1  102 277.11  16.64  1381  279 
1  103 277.23  16.44  1867  308 
1  104 277.36  16.23  1836  297 
1  105 277.47  16.03  1360  271 
1  106 277.59  15.83  1367  271 
1  107 277.71  15.63  1475  293 
1  108 277.83  15.43  1512  281 
1  109 277.95  15.23  2281  328 
1  110 278.07  15.02  2322  322 
1  111 278.19  14.82  2016  310 
1  112 278.31  14.62  1883  299 
1  113 278.42  14.42  1856  301 
1  114 278.53  14.22  2283  330 
1  115 278.65  14.02  1584  287 
1  116 278.77  13.81  1908  314 
1  117 278.89  13.61  1914  301 
1  118 279.01  13.41  2166  324 
1  119 279.47  12.60  2728  361 
1  120 279.59  12.40  3058  377 
1  121 279.70  12.20  2494  344 
1  122 280.04  11.59  3058  365 
1  123 280.16  11.38  3357  387 
1  124 280.73  10.38  4187  435 
1  125 281.19   9.57  3939  424 
1  126 281.53   8.95  4280  517 
1  127 281.64   8.75  3917  715 
1  128 282.32   7.53  3433  422 
1  129 282.43   7.33  3304  394 
1  130 282.55   7.13  3371  406 
1  131 282.66   6.93  2822  390 
1  132 282.77   6.72  3636  414 
1  133 282.88   6.52  3798  422 
1  134 282.99   6.31  3753  430 
1  135 283.11   6.11  4569  467 
1  136 283.22   5.91  4374  465 
1  137 283.66   5.09  6369  560 
1  138 283.78   4.89  5190  496 
1  139 289.75  -6.10  7541  804 
1  140 289.86  -6.30  9985  937 
1  141 289.98  -6.52  6707  775 
1  142 290.09  -6.72 10977 1593 
1  143 290.20  -6.92 11379  970 
1  144 290.31  -7.12 10735  972 
1  145 290.42  -7.32  8685  902 
1  146 290.54  -7.52  9702  941 
1  147 290.65  -7.74 10040  959 
1  148 290.76  -7.94  6282  787 
1  149 290.87  -8.14  7898  910 
1  150 290.98  -8.34  7722  890 
1  151 291.10  -8.54  7801  845 
1  152 291.21  -8.74  7760  863 
1  153 291.33  -8.95  5259  718 
1  154 291.44  -9.16  6662  810 
1  155 291.78  -9.76  5188  814 
1  156 292.35 -10.77  5081  748 
1  157 292.46 -10.98  4952  746 
1  158 292.57 -11.18  4804  752 
1  159 292.70 -11.39  4833  769 
1  160 292.81 -11.59  5505  789 
1  161 292.92 -11.79  6344  841 
1  162 293.04 -11.99  5300  771 
1  163 293.15 -12.19  5362 1095 
1  164 293.26 -12.39  5399  873 
1  165 293.39 -12.60  5165  814 
1  166 293.50 -12.80  3638  670 
1  167 293.62 -13.00  6344  879 
1  168 293.73 -13.20  7045  920 
1  169 293.85 -13.40  4431  756 
1  170 293.96 -13.60  5011  826 
1  171 294.09 -13.81  4956  797 
