Title: Mapping the Diffuse Ultraviolet Sky with GALEX
Authors: Murthy J., Henry R.C., Sujatha N.V.
Table: Diffuse Flux Observed by GALEX
================================================================================
Byte-by-byte Description of file: apj370277t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.2   deg   GLON   Galactic longitude
   8- 13 F6.2   deg   GLAT   Galactic latitude 
  15- 21 F7.2   ---   TFUV   Total FUV band flux (1)
  23- 29 F7.2   ---   TNUV   Total NUV band flux (1)
  31- 37 F7.2   ---   FUV    FUV band flux (1)
  39- 45 F7.2   ---   NUV    NUV band flux (1)
--------------------------------------------------------------------------------
Note (1): In units of ph/cm^2^/s/sr/Angstroms.
--------------------------------------------------------------------------------
261.46 -40.15  582.28 1117.63  393.93  559.12 
240.38 -49.19  457.28 1001.7   335.    427.72 
239.27 -47.61  454.9   979.    331.01  404.52 
239.09 -48.54  445.51  918.88  226.52  284.49 
238.91 -49.47  513.77 1052.24  395.05  474.03 
234.85 -48.33  581.6  1099.56  372.83  460.44 
234.61 -49.23  550.13 1026.22  338.87  385.22 
 85.16  70.66  425.86 1029.44  341.85  429.14 
240.54 -48.25  446.88  968.14  322.04  394.74 
237.82 -47.88  442.03  915.66  228.14  280.89 
160.67  51.23  361.17 1021.7   271.87  291.5  
 82.3   75.56  420.98 1133.76  317.09  455.49 
152.81  52.36  394.26 1094.62  273.36  375.22 
 76.17  69.4   384.56  902.32  170.87  239.07 
236.34 -48.12  473.02  944.91  261.68  307.96 
 87.88  72.24   -1.   1016.11   -1.    427.24 
236.12 -49.02  518.1   997.82  304.24  358.97 
151.01  51.47  371.2   993.31  166.95  184.48 
 65.02  42.17  530.73  957.39  234.94  245.24 
108.14  58.42  513.28  998.9   160.07  213.64 
332.8  -67.71  407.99 1014.39  297.63  382.54 
 75.75  70.52  400.73  924.05  258.46  330.18 
152.94  53.38  489.46 1217.65  367.19  502.33 
 73.75  69.85  396.89  903.61  186.84  240.79 
 69.45  69.54  412.93  990.08  333.98  377.   
319.91 -73.63   -1.   1167.75   -1.    474.1  
309.1  -72.7   387.37 1001.7   319.99  385.28 
147.51  47.64   -1.    926.84   -1.    212.08 
147.51  47.64  429.46 1045.15  281.38  326.29 
260.41 -40.75  555.74 1044.07  371.12  485.15 
107.04  66.05  646.15 1234.21  503.62  642.5  
237.62 -48.8   473.81  950.29  257.35  313.59 
231.8  -48.66  770.71 1245.83  562.45  593.64 
 72.41  72.05  374.62  954.16  301.22  339.24 
 84.28  65.12  436.36 1004.92  209.45  348.65 
151.33  50.94  381.27 1011.59  280.01  332.61 
150.    47.43  352.66  919.74  260.41  311.71 
170.14  53.6   426.66 1138.07  390.29  409.16 
257.89 -48.43  424.46  880.27  266.87  320.24 
 88.75  75.44  387.8  1010.08  318.29  383.99 
 65.22  41.51  486.26  950.29  268.65  288.54 
 76.75  67.15  473.2   948.14  258.04  294.89 
 73.14  70.96  348.14  890.49  264.13  291.21 
 84.8   44.86  543.78  998.25  298.53  370.55 
235.21 -52.36  524.38  988.79  298.85  327.48 
233.53 -52.84  520.72 1019.98  296.72  355.72 
150.91  50.95  357.48  964.05  154.3   153.43 
 68.58  70.64  467.77 1034.18  273.02  373.58 
152.23  52.39  331.06 1010.51  241.62  348.68 
316.57 -73.76  340.58 1035.04  255.29  343.89 
147.71  52.99  353.64  973.09  169.79  219.97 
 89.73  73.12  324.11  896.08  236.15  282.97 
310.85 -72.94  396.58  968.36  310.82  297.16 
169.49  52.6   421.5  1186.03  359.06  425.49 
 66.28  43.97  631.75 1320.25  415.97  704.47 
160.36  50.18  344.55  992.02  277.69  351.77 
265.92 -39.63  728.01 1190.76  523.75  623.4  
146.42  46.18  438.43 1032.24  286.14  317.22 
146.42  46.18   -1.    948.35   -1.    262.64 
150.02  51.56  437.82 1073.97  331.44  400.35 
152.7   51.32  303.86  956.53  222.52  335.49 
 71.9   69.15  415.49  939.75  208.81  281.35 
147.71  52.97  445.81 1003.2   371.78  388.48 
259.07 -39.35  702.27 1146.45  516.17  588.44 
149.99  50.53  427.88 1016.32  322.39  342.67 
 65.15  42.46  533.47 1113.55  317.77  453.23 
147.26  52.74   -1.    990.94   -1.    339.86 
147.26  52.74  377.73  981.48  261.79  315.28 
314.89 -73.09  333.14 1051.38  269.11  429.88 
320.79 -74.33  314.9   994.28  251.15  361.92 
233.34 -48.51  584.9  1103.01  328.52  398.74 
162.09  51.5   370.53 1047.51  285.86  312.29 
 86.38  41.61  662.37 1138.39  356.34  469.75 
338.04 -64.81  398.5  1063.21  298.34  316.51 
 91.06  73.75  373.58  921.04  257.66  241.75 
 86.29  65.67  380.96 1005.57  273.34  442.19 
247.22 -50.36  495.65  942.54  250.    295.25 
109.21  59.32  475.31 1042.56  340.85  474.98 
323.74 -71.87  422.75 1010.94  181.58  247.08 
149.98  49.5   418.42 1051.17  297.58  419.39 
149.98  49.5    -1.    944.27   -1.    225.8  
147.22  51.97  360.16  895.22  255.15  289.23 
238.72 -50.4   626.38 1178.29  402.23  535.83 
226.98 -49.4   500.96  997.82  251.69  283.97 
 64.91  45.33  563.18 1034.61  364.55  390.57 
151.25  48.87  382.06  975.67  249.6   255.23 
109.43  67.92  404.27 1052.35  294.36  434.69 
342.87 -62.73  313.19  950.5   271.19  290.18 
341.34 -63.44  343.94 1042.78  255.21  295.45 
108.2   66.99  517.79 1194.85  403.26  580.73 
290.73 -68.85  428.12  966.42  261.9   257.59 
 84.57  45.31  605.52 1006.21  359.56  372.16 
