T_eff	F218W	F225W	F275W	F300X	F336W
1000	1	1	1	1	1
2000	9.90E-01	9.90E-01	8.40E-01	5.50E-01	3.00E-02
3000	6.00E-01	2.70E-01	3.00E-02	8.90E-02	8.40E-04
4000	1.10E-01	1.80E-02	3.10E-03	3.30E-02	1.40E-04
5000	2.70E-02	3.20E-03	8.60E-04	1.70E-02	4.50E-05
6000	9.90E-03	1.00E-03	3.80E-04	1.00E-02	2.20E-05
7000	4.90E-03	4.60E-04	2.20E-04	7.30E-03	1.30E-05
8000	2.80E-03	2.50E-04	1.50E-04	5.50E-03	9.00E-06
9000	1.90E-03	1.60E-04	1.10E-04	4.40E-03	6.80E-06
10000	1.30E-03	1.10E-04	8.60E-05	3.70E-03	5.40E-06
11000	1.00E-03	8.60E-05	7.10E-05	3.20E-03	4.50E-06
12000	8.30E-04	6.90E-05	6.00E-05	2.80E-03	3.90E-06
13000	6.90E-04	5.70E-05	5.30E-05	2.60E-03	3.50E-06
14000	5.90E-04	4.80E-05	4.80E-05	2.30E-03	3.10E-06
15000	5.10E-04	4.20E-05	4.30E-05	2.20E-03	2.90E-06
20000	3.30E-04	2.60E-05	3.20E-05	1.70E-03	2.20E-06
30000	2.10E-04	1.70E-05	2.40E-05	1.30E-03	1.70E-06
40000	1.80E-04	1.40E-05	2.10E-05	1.20E-03	1.50E-06
50000	1.60E-04	1.30E-05	2.00E-05	1.10E-03	1.40E-06
